Id1;ValueS;ValueE
CRW_16S_A_C_19;1.041222;3475.963934
CRW_16S_A_C_1;1.038783;3447.916320
CRW_16S_A_C_20;1.041222;3475.963934
CRW_16S_A_C_21;1.041222;3475.963934
CRW_16S_A_C_25;1.041222;3475.963934
CRW_16S_A_E_10;1.041222;3475.963934
CRW_16S_A_E_11;1.041222;3475.963934
CRW_16S_A_E_13;1.041222;3475.963934
CRW_16S_A_E_14;1.041222;3475.963934
CRW_16S_A_E_15;1.047764;3781.503494
CRW_16S_A_E_16;1.048633;3961.798699
CRW_16S_A_E_17;1.048633;3961.798699
CRW_16S_A_E_18;1.041222;3475.963934
CRW_16S_A_E_23;1.047764;3781.503494
CRW_16S_A_E_24;1.047764;3781.503494
CRW_16S_A_E_2;1.048633;3961.798699
CRW_16S_A_E_3;1.041222;3475.963934
CRW_16S_A_E_4;1.041222;3475.963934
CRW_16S_A_E_5;1.048633;3961.798699
CRW_16S_A_E_6;1.041222;3475.963934
CRW_16S_A_E_7;1.041222;3475.963934
CRW_16S_A_E_8;1.042405;3419.824137
CRW_16S_A_E_9;1.041222;3475.963934
CRW_16S_A_N_12;1.047764;3781.503494
