Id;Organism;Taxon
CRW_16S_A_C_1;Aeropyrum pernix;Crenarchaeota 
CRW_16S_A_E_2;Archaeoglobus fulgidus;Euryarchaeota 
CRW_16S_A_E_3;Haloarcula marismortui rrnA;Euryarchaeota 
CRW_16S_A_E_4;Haloarcula marismortui rrnB;Euryarchaeota 
CRW_16S_A_E_5;Halobacterium sp. NRC-1;Euryarchaeota 
CRW_16S_A_E_6;Haloferax volcanii;Euryarchaeota 
CRW_16S_A_E_7;Methanobacterium formicicum;Euryarchaeota 
CRW_16S_A_E_8;Methanococcus vannielii;Euryarchaeota 
CRW_16S_A_E_9;Methanospirillum hungatei;Euryarchaeota 
CRW_16S_A_E_11;Methanothermobacter thermautotrophicus;Euryarchaeota 
CRW_16S_A_E_10;Methanothermobacter thermautotrophicus;Euryarchaeota 
CRW_16S_A_N_12;Nanoarchaeum equitans;Nanoarchaeota
CRW_16S_A_E_13;Natronobacterium innermongoliae;Euryarchaeota 
CRW_16S_A_E_14;Natronorubrum bangense;Euryarchaeota 
CRW_16S_A_E_15;Picrophilus torridus DSM 9790;Euryarchaeota 
CRW_16S_A_E_16;Pyrococcus abyssi;Euryarchaeota 
CRW_16S_A_E_17;Pyrococcus furiosus;Euryarchaeota 
CRW_16S_A_E_18;Pyrococcus horikoshii;Euryarchaeota 
CRW_16S_A_C_19;Pyrodictium occultum;Crenarchaeota 
CRW_16S_A_C_20;Sulfolobus acidocaldarius;Crenarchaeota 
CRW_16S_A_C_21;Sulfolobus solfataricus;Crenarchaeota 
CRW_16S_A_E_23;Thermococcus celer;Euryarchaeota 
CRW_16S_A_E_24;Thermoplasma acidophilum;Euryarchaeota 
CRW_16S_A_C_25;Thermoproteus tenax;Crenarchaeota 
