Id;Organism;Taxon
CRW_16S_B_Aci_1;Acidobacterium capsulatum;Acidobacteria
CRW_16S_B_P_2;Acinetobacter calcoaceticus;Proteobacteria
CRW_16S_B_Ac_3;Actinomyces israelii;Actinobacteria
CRW_16S_B_P_4;Aeromonas hydrophila;Proteobacteria
CRW_16S_B_P_5;Agrobacterium tumefaciens;Proteobacteria
CRW_16S_B_P_6;Allochromatium vinosum;Proteobacteria
CRW_16S_B_Cy_7;Anabaena sp.;Cyanobacteria
CRW_16S_B_Aq_8;Aquifex aeolicus;Aquificae
CRW_16S_B_Aq_9;Aquifex pyrophilus;Aquificae
CRW_16S_B_Ac_10;Arthrobacter globiformis;Actinobacteria
CRW_16S_B_P_11;Azorhizobium caulinodans;Proteobacteria
CRW_16S_B_F_13;Bacillus cereus;Firmicutes
CRW_16S_B_F_14;Bacillus halodurans;Firmicutes
CRW_16S_B_F_15;Bacillus subtilis;Firmicutes
CRW_16S_B_F_16;Bacillus subtilis A;Firmicutes
CRW_16S_B_Ba_17;Bacteroides fragilis;Bacteroidetes
CRW_16S_B_P_18;Bartonella bacilliformis;Proteobacteria
CRW_16S_B_P_20;Bartonella quintana;Proteobacteria
CRW_16S_B_P_21;Beggiatoa sp. ;Proteobacteria
CRW_16S_B_P_23;Bordetella bronchiseptica;Proteobacteria
CRW_16S_B_P_24;Bordetella parapertussis;Proteobacteria
CRW_16S_B_P_25;Bordetella pertussis;Proteobacteria
CRW_16S_B_S_26;Borrelia burgdorferi;Spirochaetes
CRW_16S_B_S_27;Borrelia burgdorferi;Spirochaetes
CRW_16S_B_S_28;Borrelia hermsii;Spirochaetes
CRW_16S_B_S_29;Brachyspira hyodysenteriae;Spirochaetes
CRW_16S_B_P_30;Bradyrhizobium japonicum;Proteobacteria
CRW_16S_B_S_31;Brevinema andersonii;Spirochaetes
CRW_16S_B_P_32;Brucella melitensis;Proteobacteria
CRW_16S_B_P_33;Burkholderia mallei;Proteobacteria
CRW_16S_B_P_34;Burkholderia sp.;Proteobacteria
CRW_16S_B_P_35;Campylobacter jejuni;Proteobacteria
CRW_16S_B_P_36;Campylobacter jejuni;Proteobacteria
CRW_16S_B_P_37;Campylobacter sputorum;Proteobacteria
CRW_16S_B_C_38;Chlamydia muridarum;Chlamydiae
CRW_16S_B_C_39;Chlamydia trachomatis;Chlamydiae
CRW_16S_B_C_40;Chlamydia trachomatis;Chlamydiae
CRW_16S_B_Cy_46;Chlorogloeopsis ;Cyanobacteria
