Id1;ValueS;ValueE
CRW_5S_E_A_14;1.038203;0.327643
CRW_5S_E_A_30;1.038203;0.327643
CRW_5S_E_A_31;1.038203;0.327643
CRW_5S_E_A_68;1.038203;0.327643
CRW_5S_E_A_91;1.038203;0.327643
CRW_5S_E_E_28;1.038203;0.327643
CRW_5S_E_E_29;1.038203;0.327643
CRW_5S_E_E_94;1.038203;0.327643
CRW_5S_E_E_95;1.038203;0.327643
CRW_5S_E_F_50;1.038203;0.327643
CRW_5S_E_F_52;1.038203;0.327643
CRW_5S_E_F_7;1.038203;0.327643
CRW_5S_E_F_82;1.038203;0.327643
CRW_5S_E_F_86;1.038203;0.327643
CRW_5S_E_M_11;1.038203;0.327643
CRW_5S_E_M_12;1.038203;0.327643
CRW_5S_E_M_15;1.038203;0.327643
CRW_5S_E_M_16;1.038203;0.327643
CRW_5S_E_M_17;1.038203;0.327643
CRW_5S_E_M_18;1.038203;0.327643
CRW_5S_E_M_19;1.038203;0.327643
CRW_5S_E_M_2;1.038203;0.327643
CRW_5S_E_M_20;1.038203;0.327643
CRW_5S_E_M_22;1.038203;0.327643
CRW_5S_E_M_23;1.038203;0.327643
CRW_5S_E_M_24;1.038203;0.327643
CRW_5S_E_M_25;1.038203;0.327643
CRW_5S_E_M_26;1.038203;0.327643
CRW_5S_E_M_3;1.038203;0.327643
CRW_5S_E_M_38;1.038203;0.327643
CRW_5S_E_M_39;1.038203;0.327643
CRW_5S_E_M_40;1.038203;0.327643
CRW_5S_E_M_41;1.038203;0.327643
CRW_5S_E_M_42;1.038203;0.327643
CRW_5S_E_M_43;1.038203;0.327643
CRW_5S_E_M_44;1.038203;0.327643
CRW_5S_E_M_45;1.038203;0.327643
CRW_5S_E_M_46;1.038203;0.327643
CRW_5S_E_M_48;1.038203;0.327643
CRW_5S_E_M_5;1.038203;0.327643
CRW_5S_E_M_57;1.038203;0.327643
CRW_5S_E_M_59;1.038203;0.327643
CRW_5S_E_M_6;1.038203;0.327643
CRW_5S_E_M_60;1.038203;0.327643
CRW_5S_E_M_61;1.038203;0.327643
CRW_5S_E_M_64;1.038203;0.327643
CRW_5S_E_M_65;1.038203;0.327643
CRW_5S_E_M_72;1.038203;0.327643
CRW_5S_E_M_75;1.038203;0.327643
CRW_5S_E_M_76;1.038203;0.327643
CRW_5S_E_M_77;1.038203;0.327643
CRW_5S_E_M_79;1.038203;0.327643
CRW_5S_E_M_8;1.038203;0.327643
CRW_5S_E_M_80;1.038203;0.327643
CRW_5S_E_M_81;1.038203;0.327643
CRW_5S_E_M_83;1.038203;0.327643
CRW_5S_E_M_88;1.038203;0.327643
CRW_5S_E_M_89;1.038203;0.327643
CRW_5S_E_M_9;1.038203;0.327643
CRW_5S_E_M_96;1.038203;0.327643
CRW_5S_E_S_85;1.038203;0.327643
CRW_5S_E_V_10;1.038203;0.327643
CRW_5S_E_V_13;1.038203;0.327643
CRW_5S_E_V_21;1.038203;0.327643
CRW_5S_E_V_33;1.038203;0.327643
CRW_5S_E_V_35;1.038203;0.327643
CRW_5S_E_V_36;1.038203;0.327643
CRW_5S_E_V_37;1.038203;0.327643
CRW_5S_E_V_51;1.038203;0.327643
CRW_5S_E_V_55;1.038203;0.327643
CRW_5S_E_V_56;1.038203;0.327643
CRW_5S_E_V_58;1.038203;0.327643
CRW_5S_E_V_66;1.038203;0.327643
CRW_5S_E_V_67;1.038203;0.327643
CRW_5S_E_V_74;1.038203;0.327643
CRW_5S_E_V_92;1.038203;0.327643
CRW_5S_E_V_93;1.038203;0.327643
