Id1;ValueS;ValueE
CRW_16S_E_A_1;1.052599;3971.030232
CRW_16S_E_A_104;1.114436;1779.993791
CRW_16S_E_A_125;1.043204;1080.735729
CRW_16S_E_A_159;1.014043;2905.284306
CRW_16S_E_A_160;1.024449;2997.354772
CRW_16S_E_A_161;1.008325;2159.698113
CRW_16S_E_A_162;0.996780;3618.394221
CRW_16S_E_A_163;0.996780;3618.394221
CRW_16S_E_A_164;0.996780;3618.394221
CRW_16S_E_A_165;0.996780;3618.394221
CRW_16S_E_A_166;0.996780;3618.394221
CRW_16S_E_A_167;0.996780;3618.394221
CRW_16S_E_A_168;0.996361;3137.511283
CRW_16S_E_A_169;1.002359;2785.571425
CRW_16S_E_A_202;0.994511;3372.724683
CRW_16S_E_A_219;0.994511;3372.724683
CRW_16S_E_A_226;1.001342;2829.835526
CRW_16S_E_A_239;0.994511;3372.724683
CRW_16S_E_A_25;1.042958;3960.935962
CRW_16S_E_A_26;1.055452;4689.229481
CRW_16S_E_A_301;0.994511;3372.724683
CRW_16S_E_A_306;0.994511;3372.724683
CRW_16S_E_A_307;0.994511;3372.724683
CRW_16S_E_A_312;0.994511;3372.724683
CRW_16S_E_A_313;0.993729;3379.154076
CRW_16S_E_A_315;0.984971;3980.277354
CRW_16S_E_A_318;1.005693;5561.277732
CRW_16S_E_A_319;1.023913;5861.041300
CRW_16S_E_A_320;1.010002;4631.073300
CRW_16S_E_A_321;1.015065;4835.965433
CRW_16S_E_A_322;1.034818;1874.514122
CRW_16S_E_A_359;0.994511;3372.724683
CRW_16S_E_A_36;1.048860;4833.927517
CRW_16S_E_A_360;0.994511;3372.724683
CRW_16S_E_A_362;0.994075;3750.214576
CRW_16S_E_A_374;1.032408;1406.564046
CRW_16S_E_A_382;0.994511;3372.724683
CRW_16S_E_A_383;0.993729;3379.154076
CRW_16S_E_A_384;0.994511;3372.724683
CRW_16S_E_Am_108;1.067053;1961.147314
CRW_16S_E_Am_134;1.023412;2398.099561
CRW_16S_E_Am_38;1.058746;1700.532726
CRW_16S_E_Am_63;1.055890;2464.174349
CRW_16S_E_C_7;1.054563;4060.817028
CRW_16S_E_D_233;1.065939;1291.689913
CRW_16S_E_D_249;1.079816;1128.900429
CRW_16S_E_E_127;1.216365;11.349875
CRW_16S_E_E_14;1.064948;3907.053327
CRW_16S_E_E_262;1.043462;1504.580332
CRW_16S_E_E_378;1.043332;1383.418692
CRW_16S_E_E_379;1.037081;1706.149760
CRW_16S_E_E_57;1.216365;11.349875
CRW_16S_E_E_80;1.216365;11.349875
CRW_16S_E_F_106;1.054459;1112.070961
CRW_16S_E_F_109;1.058695;1540.754124
CRW_16S_E_F_116;1.060338;731.433511
CRW_16S_E_F_122;1.215547;7790.031309
CRW_16S_E_F_138;0.994331;3426.564979
CRW_16S_E_F_139;1.028268;2846.081821
CRW_16S_E_F_140;1.065406;4872.438968
CRW_16S_E_F_141;1.074606;5471.908386
CRW_16S_E_F_142;1.064673;5553.442688
CRW_16S_E_F_143;1.068289;5497.248135
CRW_16S_E_F_148;1.032523;4749.044977
CRW_16S_E_F_153;1.002393;2786.400261
CRW_16S_E_F_170;1.020148;4119.623964
CRW_16S_E_F_179;1.006212;2748.210533
CRW_16S_E_F_186;1.015895;4489.086245
CRW_16S_E_F_188;0.998827;2761.041898
CRW_16S_E_F_192;1.002393;2786.400261
CRW_16S_E_F_198;1.005157;2469.975918
CRW_16S_E_F_199;1.034761;6373.403825
CRW_16S_E_F_206;1.003290;2538.529241
CRW_16S_E_F_212;0.985855;3703.605981
CRW_16S_E_F_213;0.997834;3052.622416
CRW_16S_E_F_214;0.996207;2554.563829
CRW_16S_E_F_215;0.997834;3052.622416
CRW_16S_E_F_217;1.009122;3252.825377
CRW_16S_E_F_218;1.008095;2906.482292
CRW_16S_E_F_223;1.070476;1950.776643
CRW_16S_E_F_227;1.011520;3462.831393
CRW_16S_E_F_238;1.005157;2469.975918
CRW_16S_E_F_239;1.021463;3639.814449
CRW_16S_E_F_240;1.052966;4814.340977
CRW_16S_E_F_244;1.043116;4637.051330
CRW_16S_E_F_246;1.043116;4637.051330
CRW_16S_E_F_247;1.044191;5251.400690
CRW_16S_E_F_248;1.017826;3114.571587
CRW_16S_E_F_253;1.020593;2146.021658
CRW_16S_E_F_256;1.020148;4119.623964
CRW_16S_E_F_265;1.019198;3127.582298
CRW_16S_E_F_269;1.027856;3098.675120
CRW_16S_E_F_270;1.017826;3114.571587
CRW_16S_E_F_271;1.017554;3994.052291
CRW_16S_E_F_273;0.999515;3634.309294
CRW_16S_E_F_274;0.999515;3634.309294
CRW_16S_E_F_282;0.996361;3137.511283
CRW_16S_E_F_284;1.026176;3112.468457
CRW_16S_E_F_285;1.008095;2906.482292
CRW_16S_E_F_286;1.008095;2906.482292
CRW_16S_E_F_287;1.046512;3566.404244
CRW_16S_E_F_288;1.008095;2906.482292
CRW_16S_E_F_289;1.046512;3566.404244
CRW_16S_E_F_291;1.008095;2906.482292
CRW_16S_E_F_292;1.014665;2482.384623
CRW_16S_E_F_294;1.008095;2906.482292
CRW_16S_E_F_295;1.008095;2906.482292
CRW_16S_E_F_297;1.031210;4586.404005
CRW_16S_E_F_302;0.997834;3052.622416
CRW_16S_E_F_303;1.029816;4030.109263
CRW_16S_E_F_311;1.061771;5555.650250
CRW_16S_E_F_323;1.021463;3639.814449
CRW_16S_E_F_325;1.009122;3252.825377
CRW_16S_E_F_330;1.005157;2469.975918
CRW_16S_E_F_331;0.996361;3137.511283
CRW_16S_E_F_332;1.021862;3454.335938
CRW_16S_E_F_337;1.009197;4074.545699
CRW_16S_E_F_342;0.999515;3634.309294
CRW_16S_E_F_347;0.998827;2761.041898
CRW_16S_E_F_356;1.025925;3704.915385
CRW_16S_E_F_372;1.005157;2469.975918
CRW_16S_E_F_375;1.032343;3605.708094
CRW_16S_E_F_385;1.005157;2469.975918
CRW_16S_E_F_386;1.009391;2933.830233
CRW_16S_E_F_387;1.046512;3566.404244
CRW_16S_E_F_388;1.046512;3566.404244
CRW_16S_E_F_389;1.021463;3639.814449
CRW_16S_E_F_390;1.013692;2797.684358
CRW_16S_E_G_15;1.070660;975.647784
CRW_16S_E_G_16;1.070660;975.647784
CRW_16S_E_G_200;0.998827;2761.041898
CRW_16S_E_G_235;0.998827;2761.041898
CRW_16S_E_G_236;0.998827;2761.041898
CRW_16S_E_G_9;1.080225;3542.473228
CRW_16S_E_H_13;1.082092;1314.716456
CRW_16S_E_H_277;1.045256;3657.375163
CRW_16S_E_H_278;1.045256;3657.375163
CRW_16S_E_J_255;1.009229;2171.469517
CRW_16S_E_M_100;1.029283;1579.145086
CRW_16S_E_M_102;1.058653;505.419300
CRW_16S_E_M_103;1.073129;328.078468
CRW_16S_E_M_110;1.042708;208.922973
CRW_16S_E_M_113;1.049245;384.106401
CRW_16S_E_M_114;1.009121;1095.325569
CRW_16S_E_M_117;1.059230;392.492832
CRW_16S_E_M_120;1.035515;687.199039
CRW_16S_E_M_123;1.029283;1579.145086
CRW_16S_E_M_128;1.041587;1656.966096
CRW_16S_E_M_130;1.037811;1495.622248
CRW_16S_E_M_146;1.031382;1242.030388
CRW_16S_E_M_152;1.046182;965.058734
CRW_16S_E_M_210;0.982208;3648.615789
CRW_16S_E_M_211;1.072782;718.010462
CRW_16S_E_M_251;0.990438;2493.305294
CRW_16S_E_M_272;1.005157;2469.975918
CRW_16S_E_M_275;0.986183;2632.751745
CRW_16S_E_M_276;1.028628;1342.538917
CRW_16S_E_M_299;1.011688;1756.133272
CRW_16S_E_M_304;0.989897;2805.000964
CRW_16S_E_M_316;1.024380;1379.862496
CRW_16S_E_M_339;0.985907;2540.076792
CRW_16S_E_M_376;1.005157;2469.975918
CRW_16S_E_M_392;0.994040;3225.947159
CRW_16S_E_M_393;0.994040;3225.947159
CRW_16S_E_M_40;1.029283;1579.145086
CRW_16S_E_M_41;1.065460;427.792141
