Id;Organism;Taxon
CRW_16S_E_A_1;Babesia bovis;Alveolata
CRW_16S_E_A_104;Paramecium tetraurelia;Alveolata
CRW_16S_E_A_125;Tetrahymena pyriformis;Alveolata
CRW_16S_E_A_159;Babesia bigemina;Alveolata
CRW_16S_E_A_160;Babesia bovis;Alveolata
CRW_16S_E_A_161;Babesia canis;Alveolata
CRW_16S_E_A_162;Babesia gibsoni;Alveolata
CRW_16S_E_A_163;Babesia microti;Alveolata
CRW_16S_E_A_164;Babesia microti;Alveolata
CRW_16S_E_A_165;Babesia microti;Alveolata
CRW_16S_E_A_166;Babesia microti;Alveolata
CRW_16S_E_A_167;Babesia microti;Alveolata
CRW_16S_E_A_168;Babesia rodhaini;Alveolata
CRW_16S_E_A_169;Babesia sp. 'Oklahoma dog';Alveolata
CRW_16S_E_A_202;Cyrtohymena citrina;Alveolata
CRW_16S_E_A_219;Engelmanniella mobilis;Alveolata
CRW_16S_E_A_226;Euplotes aediculatus;Alveolata
CRW_16S_E_A_239;Gastrostyla steinii;Alveolata
CRW_16S_E_A_25;Plasmodium falciparum;Alveolata
CRW_16S_E_A_26;Plasmodium vivax;Alveolata
CRW_16S_E_A_301;Onychodromus quadricornutus;Alveolata
CRW_16S_E_A_306;Oxytricha granulifera;Alveolata
CRW_16S_E_A_307;Oxytricha granulifera;Alveolata
CRW_16S_E_A_312;Paraurostyla weissei;Alveolata
CRW_16S_E_A_313;Paruroleptus lepisma;Alveolata
CRW_16S_E_A_315;Perkinsus marinus;Alveolata
CRW_16S_E_A_318;Plasmodium falciparum;Alveolata
CRW_16S_E_A_319;Plasmodium falciparum;Alveolata
CRW_16S_E_A_320;Plasmodium vivax;Alveolata
CRW_16S_E_A_321;Plasmodium vivax;Alveolata
CRW_16S_E_A_322;Plasmodium vivax;Alveolata
CRW_16S_E_A_359;Stylonychia lemnae;Alveolata
CRW_16S_E_A_36;Toxoplasma gondii;Alveolata
CRW_16S_E_A_360;Stylonychia mytilus;Alveolata
CRW_16S_E_A_362;Tetrahymena thermophila;Alveolata
CRW_16S_E_A_374;Toxoplasma gondii;Alveolata
CRW_16S_E_A_382;Uroleptus gallina;Alveolata
CRW_16S_E_A_383;Uroleptus pisces;Alveolata
CRW_16S_E_A_384;Urostyla grandis;Alveolata
CRW_16S_E_Am_108;Physarum polycephalum;Amoebozoa
CRW_16S_E_Am_134;Acanthamoeba castellanii;Amoebozoa
CRW_16S_E_Am_38;Acanthamoeba castellanii;Amoebozoa
CRW_16S_E_Am_63;Dictyostelium discoideum;Amoebozoa
CRW_16S_E_C_7;Cryptomonas sp.;Cryptophyta
CRW_16S_E_D_233;Giardia ardeae;Diplomonadida
CRW_16S_E_D_249;Hexamita sp.;Diplomonadida
CRW_16S_E_E_127;Trypanosoma brucei;Euglenozoa
CRW_16S_E_E_14;Euglena gracilis;Euglenozoa
CRW_16S_E_E_262;Leishmania major;Euglenozoa
CRW_16S_E_E_378;Trypanosoma brucei;Euglenozoa
CRW_16S_E_E_379;Trypanosoma cruzi;Euglenozoa
CRW_16S_E_E_57;Crithidia fasciculata;Euglenozoa
CRW_16S_E_E_80;Leishmania tarentolae;Euglenozoa
CRW_16S_E_F_106;Penicillium chrysogenum;Fungi
CRW_16S_E_F_109;Podospora anserina;Fungi
CRW_16S_E_F_116;Saccharomyces cerevisiae;Fungi
CRW_16S_E_F_122;Suillus sinuspaulianus;Fungi
CRW_16S_E_F_138;Allomyces macrogynus;Fungi
CRW_16S_E_F_139;Amblyospora bracteata;Fungi
CRW_16S_E_F_140;Amblyospora connecticus;Fungi
CRW_16S_E_F_141;Amblyospora ferocious;Fungi
CRW_16S_E_F_142;Amblyospora khaliulini;Fungi
CRW_16S_E_F_143;Amblyospora sp.;Fungi
CRW_16S_E_F_148;Antonospora scoticae;Fungi
CRW_16S_E_F_153;Aspergillus flavus;Fungi
CRW_16S_E_F_170;Bacillidium sp.;Fungi
CRW_16S_E_F_179;Blastocladiella emersonii;Fungi
CRW_16S_E_F_186;Bryonosema plumatellae;Fungi
CRW_16S_E_F_188;Candida albicans;Fungi
CRW_16S_E_F_192;Coccidioides immitis;Fungi
CRW_16S_E_F_198;Cryptococcus neoformans var. neoformans;Fungi
CRW_16S_E_F_199;Culicosporella lunata;Fungi
CRW_16S_E_F_206;Dictyocoela gammarellum;Fungi
CRW_16S_E_F_212;Edhazardia aedis;Fungi
CRW_16S_E_F_213;Encephalitozoon cuniculi;Fungi
CRW_16S_E_F_214;Encephalitozoon hellem;Fungi
CRW_16S_E_F_215;Encephalitozoon sp.;Fungi
CRW_16S_E_F_217;Endoreticulatus schubergi;Fungi
CRW_16S_E_F_218;Endoreticulatus sp.;Fungi
CRW_16S_E_F_223;Enterocytozoonidae gen. sp.;Fungi
CRW_16S_E_F_227;Flabelliforma montana;Fungi
