Id;Organism;Taxon
CRW_5S_E_A_14;Bresslaua vorax;Alveolata
CRW_5S_E_A_30;Euplotes eurystomus;Alveolata
CRW_5S_E_A_31;Euplotes woodruffi;Alveolata
CRW_5S_E_A_68;Paramecium tetraurelia;Alveolata
CRW_5S_E_A_91;Tetrahymena thermophila;Alveolata
CRW_5S_E_E_28;Euglena gracilis;Euglenozoa
CRW_5S_E_E_29;Euglena gracilis;Euglenozoa
CRW_5S_E_E_94;Trypanoplasma borreli;Euglenozoa
CRW_5S_E_E_95;Trypanosoma cruzi;Euglenozoa
CRW_5S_E_F_50;Kabatiella microsticta;Fungi
CRW_5S_E_F_52;Lentinula edodes;Fungi
CRW_5S_E_F_7;Ascobolus immersus;Fungi
CRW_5S_E_F_82;Saccharomyces cerevisiae;Fungi
CRW_5S_E_F_86;Schizosaccharomyces pombe;Fungi
CRW_5S_E_M_11;Bos taurus;Metazoa
CRW_5S_E_M_12;Brachionus plicatilis;Metazoa
CRW_5S_E_M_15;Bugula neritina;Metazoa
CRW_5S_E_M_16;Caenorhabditis elegans;Metazoa
CRW_5S_E_M_17;Caenorhabditis elegans;Metazoa
CRW_5S_E_M_18;Calliphora vicina;Metazoa
CRW_5S_E_M_19;Cerastoderma edule;Metazoa
CRW_5S_E_M_2;Acheta domesticus;Metazoa
CRW_5S_E_M_20;Chrysaora quinquecirrha;Metazoa
CRW_5S_E_M_22;Cyprinus carpio;Metazoa
CRW_5S_E_M_23;Drosophila mauritiana;Metazoa
CRW_5S_E_M_24;Drosophila melanogaster;Metazoa
CRW_5S_E_M_25;Drosophila melanogaster;Metazoa
CRW_5S_E_M_26;Emplectonema gracile;Metazoa
CRW_5S_E_M_3;Actinia equina;Metazoa
CRW_5S_E_M_38;Halichondria japonica;Metazoa
CRW_5S_E_M_39;Haliclona oculata;Metazoa
CRW_5S_E_M_40;Hemicentrotus sp.;Metazoa
CRW_5S_E_M_41;Homo sapiens;Metazoa
CRW_5S_E_M_42;Homo sapiens;Metazoa
CRW_5S_E_M_43;Homo sapiens;Metazoa
CRW_5S_E_M_44;Homo sapiens;Metazoa
CRW_5S_E_M_45;Homo sapiens;Metazoa
CRW_5S_E_M_46;Homo sapiens;Metazoa
CRW_5S_E_M_48;Iguana iguana;Metazoa
CRW_5S_E_M_5;Antheraea pernyi;Metazoa
CRW_5S_E_M_57;Mesocricetus auratus;Metazoa
CRW_5S_E_M_59;Micropterus salmoides;Metazoa
CRW_5S_E_M_6;Artemia salina;Metazoa
CRW_5S_E_M_60;Misgurnus fossilis;Metazoa
CRW_5S_E_M_61;Mus musculus;Metazoa
CRW_5S_E_M_64;Onchocerca cervicalis;Metazoa
CRW_5S_E_M_65;Oncorhynchus mykiss;Metazoa
CRW_5S_E_M_72;Phascolopsis gouldii;Metazoa
CRW_5S_E_M_75;Planocera reticulata;Metazoa
CRW_5S_E_M_76;Pleurodeles waltl;Metazoa
CRW_5S_E_M_77;Proasellus coxalis;Metazoa
CRW_5S_E_M_79;Rattus norvegicus;Metazoa
CRW_5S_E_M_8;Asellus aquaticus;Metazoa
CRW_5S_E_M_80;Rattus norvegicus;Metazoa
CRW_5S_E_M_81;Rattus norvegicus;Metazoa
CRW_5S_E_M_83;Saccoglossus kowalevskii;Metazoa
CRW_5S_E_M_88;Scyliorhinus canicula;Metazoa
CRW_5S_E_M_89;Sepia officinalis;Metazoa
CRW_5S_E_M_9;Aurelia aurita;Metazoa
CRW_5S_E_M_96;Urechis unicinctus;Metazoa
CRW_5S_E_S_85;Schizochytrium aggregatum;Stramenopiles
CRW_5S_E_V_10;Beta vulgaris;Viridiplantae
CRW_5S_E_V_13;Brassica napus ;Viridiplantae
CRW_5S_E_V_21;Cycas revoluta;Viridiplantae
CRW_5S_E_V_33;Funaria hygrometrica;Viridiplantae
CRW_5S_E_V_35;Ginkgo biloba;Viridiplantae
CRW_5S_E_V_36;Gnetum gnemon;Viridiplantae
CRW_5S_E_V_37;Gossypium arboreum;Viridiplantae
CRW_5S_E_V_51;Larix decidua;Viridiplantae
CRW_5S_E_V_55;Linum usitatissimum ;Viridiplantae
CRW_5S_E_V_56;Lupinus luteus;Viridiplantae
CRW_5S_E_V_58;Metasequoia glyptostroboides;Viridiplantae
CRW_5S_E_V_66;Oryza sativa;Viridiplantae
CRW_5S_E_V_67;Oryza sativa;Viridiplantae
CRW_5S_E_V_74;Pinus radiata;Viridiplantae
CRW_5S_E_V_92;Triticum aestivum;Viridiplantae
CRW_5S_E_V_93;Triticum monococcum;Viridiplantae
