FileName1,NumberOfNucleotides1,NumberOfWeakBonds1,IsPseudoknotted1,TimeToGenerateStructuralSequence1[ns],FileName2,NumberOfNucleotides2,NumberOfWeakBonds2,IsPseudoknotted2,TimeToGenerateStructuralSequence2[ns],MaxNumberOfNucleotides1-2,STREQDistance,TimeToCalculateSTREQDistance[ns]
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_A_30.ct",120,37,No,162977,120,0,2476814
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_A_31.ct",120,37,No,198131,120,0,657918
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_A_68.ct",120,37,No,109201,120,0,660160
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_A_91.ct",120,37,No,96924,120,0,668073
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_E_28.ct",121,37,No,99337,121,0,670622
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_E_29.ct",119,37,No,100323,120,0,691325
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_E_94.ct",120,37,No,90240,120,0,647233
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_E_95.ct",120,37,No,76779,120,0,649429
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_F_50.ct",120,37,No,77357,120,0,660049
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_F_52.ct",120,37,No,78959,120,0,653716
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_F_7.ct",119,37,No,76530,120,0,629468
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_F_82.ct",118,37,No,62014,120,0,614499
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_F_86.ct",119,37,No,56761,120,0,609684
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_M_11.ct",120,37,No,59364,120,0,671280
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_M_12.ct",120,37,No,56981,120,0,614040
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_M_15.ct",120,37,No,59236,120,0,610537
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_M_16.ct",119,37,No,58348,120,0,586674
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_M_17.ct",119,37,No,56367,120,0,582083
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_M_18.ct",120,37,No,59849,120,0,581512
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_M_19.ct",120,37,No,56979,120,0,591126
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_M_2.ct",120,37,No,59259,120,0,589611
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_M_20.ct",120,37,No,74081,120,0,576574
"CRW_5S_E_A_14.ct",120,37,No,1386529,"CRW_5S_E_M_22.ct",120,37,No,63685,120,0,579535
